ired      red
95589   76490
95593   76498
95604   76497
95608   76508
95635   76535
95722   76520
95648   76518
95660   76521
95664   76527
95662   76528
95657   76530
95672   76538
95687   76538
95694   76541
95697   76543
95705   76544
95724   76554
95742   76558
95743   76554
95712   76543
95646   76521
95563   76497
95492   76478
95440   76462
95409   76454
95408   76452
95399   76447
95428   76459
95436   76461
95458   76470
95466   76476
95476   76490
95479   76482
95492   76485
95495   76488
95493   76494
95503   76506
95516   76506
95529   76507
95541   76513
95560   76515
95582   76520
95588   76533
95577   76531
95515   76507
95428   76478
95347   76448
95281   76421
95228   76403
95206   76397
95200   76396
95194   76392
95202   76400
95220   76411
95242   76423
95258   76424
95269   76436
95267   76434
95273   76437
95276   76433
95286   76434
95292   76442
95306   76454
95327   76463
95348   76472
95370   76481
95384   76492
95392   76492
95357   76482
95278   76451
95165   76410
95069   76376
94999   76360
94960   76346
94951   76338
94948   76337
94955   76342
94968   76355
94983   76364
95002   76368
95013   76368
95028   76371
95031   76375
95043   76383
95044   76384
95060   76391
95064   76398
95082   76405
95090   76409
95104   76416
95116   76411
95126   76415
95126   76420
95085   76410
95007   76380
94925   76355
94840   76337
94785   76315
94762   76316
94758   76320
94759   76330
94773   76322
94786   76329
94802   76327
94825   76339
94837   76348
94839   76352
94846   76355
94852   76363
94863   76367
94882   76367
94900   76377
94918   76389
94933   76395
94947   76409
94973   76416
94999   76426
95014   76438
95003   76428
94953   76416
94854   76385
94775   76360
94703   76329
94668   76311
94642   76303
94635   76299
94642   76306
94657   76308
94671   76321
94696   76332
94708   76339
94721   76341
94730   76337
94735   76334
94728   76340
94731   76344
94738   76347
94759   76352
94781   76369
94802   76373
94829   76390
94851   76387
94864   76400
94865   76391
94817   76376
94731   76345
94647   76316
94561   76290
94509   76278
94484   76268
94466   76273
94457   76274
94447   76287
94457   76292
94462   76307
94474   76318
94475   76322
94484   76325
94489   76333
94500   76333
94497   76342
94494   76341
94494   76346
94500   76355
94499   76363
94499   76356
94489   76361
94449   76348
94392   76327
94312   76299
94781   76369
94105   76240
94038   76390
94851   76387
94039   76232
94062   76241
94091   76250
94107   76265
94134   76269
94149   76269
94176   76284
94202   76290
94205   76290
94179   76286
94173   76282
94149   76280
94141   76258
94117   76252
94081   76232
93999   76197
93856   76122
93732   76058
93695   76054
93722   76076
93753   76090
93739   76081
93654   76056
93553   76027
93451   75985
93353   75958
93311   75937
93333   75950
93395   75983
93464   76018
93547   76056
93639   76098
93724   76126
93782   76146
93835   76168
93864   76191
93898   76214
93942   76230
93991   76257
94040   76277
94096   76300
94153   76321
94217   76348
94263   76363
94317   76385
94361   76403
94381   76410
94347   76401
94290   76383
94220   76364
94181   76349
94148   76347
94151   76340
94157   76339
94185   76348
94210   76357
94240   76373
94272   76384
94294   76398
94319   76404
94344   76411
94358   76415
94377   76420
94394   76423
94412   76430
94430   76444
94450   76453
94481   76468
94517   76478
94545   76492
94578   76501
94594   76522
94595   76524
94535   76500
94460   76475
94376   76437
94327   76415
94277   76408
94273   76408
94272   76405
94294   76413
94315   76424
94351   76440
94371   76455
94404   76458
94425   76476
94435   76482
94447   76487
94463   76499
94483   76507
94499   76511
94522   76527
94549   76539
94573   76548
94607   76554
94627   76556
94644   76568
94673   76579
94665   76576
94607   76565
94532   76536
94464   76512
94412   76502
94398   76507
94404   76502
94413   76508
94433   76518
94449   76527
94485   76533
94502   76540
94535   76542
94551   76557
94580   76563
94598   76581
94621   76576
94634   76577
94659   76582
94681   76593
94720   76603
94751   76619
94790   76636
94830   76654
94863   76667
94895   76679
94932   76682
94909   76673
94848   76656
94763   76622
94695   76592
94645   76586
94638   76570
94638   76573
94655   76581
94676   76586
94704   76593
94734   76592
94761   76597
94776   76595
94800   76601
94809   76607
94832   76614
94860   76616
94890   76622
94913   76636
94943   76638
94961   76642
94992   76657
95010   76659
95033   76664
95055   76676
95063   76683
95052   76675
94994   76652
94918   76625
94857   76603
94811   76582
94790   76562
94777   76558
94785   76556
94805   76559
94825   76575
94840   76583
94864   76592
94881   76603
94906   76608
94676   76586
94704   76593
94920   76606
94918   76615
94925   76609
94938   76610
94952   76618
94974   76618
94997   76624
95018   76636
95034   76645
95057   76655
95069   76657
95029   76639
94966   76604
94877   76574
94803   76550
94753   76531
94722   76518
94704   76509
94696   76507
94683   76511
94673   76521
94664   76521
94654   76525
94650   76525
94637   76528
94652   76531
94667   76537
94671   76538
94681   76546
94690   76556
94716   76564
94735   76564
94748   76564
94767   76565
94788   76570
94809   76578
94805   76578
94768   76568
94683   76527
94593   76493
94506   76464
94457   76448
94422   76426
94412   76417
94407   76417
94420   76423
94431   76433
94444   76441
94460   76447
94477   76450
94485   76457
94497   76463
94509   76461
94524   76457
94537   76460
94555   76471
94572   76481
94580   76488
94607   76497
94630   76504
94659   76511
94691   76520
94700   76524
94670   76516
94592   76489
94489   76448
94386   76411
94323   76387
94284   76372
94264   76358
94256   76361
94266   76369
94286   76375
94308   76376
94326   76381
94348   76390
94373   76397
94385   76401
94395   76404
94404   76415
94420   76411
94435   76424
94461   76436
94491   76448
94523   76453
94544   76461
94562   76466
94588   76478
94616   76486
94629   76492
94592   76482
94515   76457
94417   76431
94327   76393
94268   76366
94232   76350
94217   76334
94220   76335
94222   76340
94236   76344
94259   76356
94281   76363
94291   76380
94315   76378
94333   76379
94350   76386
94354   76386
94362   76396
94368   76403
94396   76411
94414   76418
94455   76437
94478   76449
94523   76466
94552   76485
94596   76500
94624   76500
94630   76496
94582   76488
94479   76454
94396   76409
94303   76381
94246   76359
94219   76346
94214   76341
94217   76342
94227   76346
94241   76350
94259   76358
94277   76371
94292   76371
94312   76375
94322   76384
94327   76386
94335   76400
94354   76403
94368   76403
94390   76401
94415   76408
94437   76419
94463   76433
94499   76450
94525   76461
94541   76463
94551   76466
94517   76452
94434   76423
94337   76382
94249   76354
94196   76329
94162   76325
94161   76318
94172   76321
94193   76327
94207   76334
94228   76350
94249   76364
94270   76362
94275   76350
94278   76349
94281   76352
94298   76363
94310   76368
94326   76380
94347   76380
94364   76388
94335   76400
94354   76403
94411   76415
94430   76426
94450   76421
94452   76409
94416   76382
94338   76382
94236   76343
94146   76304
94076   76279
94031   76260
94016   76249
94013   76245
94020   76247
94035   76254
94062   76269
94080   76275
94112   76280
94110   76283
94116   76287
94117   76284
94129   76293
94137   76290
94147   76293
94156   76297
94170   76303
94194   76319
94220   76323
94252   76336
94279   76339
94303   76350
94293   76351
94221   76315
94097   76260
93951   76192
93833   76154
93750   76133
93719   76115
93705   76114
93714   76125
93722   76132
93734   76125
93742   76127
93745   76129
93747   76129
93750   76131
93747   76131
93759   76139
93777   76148
93795   76153
93820   76166
93848   76184
93869   76192
93911   76205
93941   76212
93979   76211
94009   76216
94028   76228
94017   76228
93953   76212
93854   76169
93743   76130
93643   76094
93592   76075
93564   76064
93554   76060
93550   76058
93557   76069
93578   76068
93607   76088
93631   76095
93657   76106
93672   76111
93685   76115
93699   76123
93716   76122
93734   76127
93757   76133
93780   76144
93809   76146
93833   76156
93862   76162
93895   76183
93928   76201
93970   76215
93991   76223
93963   76211
93874   76176
93755   76131
93647   76089
93558   76062
93529   76049
93513   76053
93522   76057
93530   76064
93551   76073
93576   76076
93607   76083
93635   76099
93657   76106
93668   76112
93685   76124
93689   76130
93712   76133
93738   76145
93767   76153
93786   76167
93818   76174
93851   76193
93872   76200
93905   76206
93942   76228
93982   76245
94020   76260
94028   76264
93982   76245
93884   76202
93764   76151
93663   76116
93591   76090
93555   76071
93545   76068
93548   76076
93557   76077
93567   76085
93589   76096
93623   76093
93641   76104
93651   76118
93656   76119
93667   76131
93697   76136
93715   76146
93748   76157
93772   76172
93794   76189
93832   76191
93854   76198
93886   76208
93928   76213
93961   76232
93989   76251
93980   76248
93924   76226
93811   76182
93687   76136
93577   76093
93510   76069
93485   76051
93471   76054
93473   76056
93484   76065
93510   76075
93551   76081
93582   76095
93602   76102
93618   76112
93634   76121
93649   76121
93662   76125
93689   76126
93704   76135
93741   76152
93776   76159
93799   76169
93831   76177
93772   76172
93794   76189
93900   76214
93927   76218
93934   76204
93883   76167
93795   76120
93673   76083
93580   76083
93517   76060
93482   76049
93476   76052
93479   76048
93483   76054
93500   76046
93511   76050
93539   76062
93555   76064
93570   76077
93578   76078
93586   76075
93599   76084
93623   76093
93647   76102
93678   76114
93694   76119
93714   76128
93735   76138
93769   76150
93805   76161
93844   76180
93870   76189
93885   76198
93833   76174
93732   76133
93616   76083
93519   76045
93449   76024
93415   76010
93397   76004
93403   76002
93413   76010
93433   76023
93454   76029
93489   76038
93514   76048
93528   76058
93532   76056
93540   76062
93551   76063
93573   76070
93605   76083
93636   76094
93673   76106
93706   76124
93738   76130
93767   76131
93799   76138
93831   76152
93862   76172
93903   76186
93897   76186
93836   76168
93739   76120
93632   76079
93546   76044
93486   76017
93461   76009
93446   76004
93449   76015
93465   76019
93487   76026
93518   76040
93547   76054
93571   76066
93587   76073
93598   76070
93610   76065
93628   76070
93639   76068
93663   76088
93684   76097
93714   76108
93743   76118
93776   76139
93816   76151
93856   76164
93889   76173
93917   76191
93946   76202
93937   76203
93876   76178
93775   76136
93675   76091
93593   76062
93544   76043
93529   76036
93529   76031
93541   76026
93554   76037
93578   76040
93591   76051
93619   76062
93637   76072
93664   76082
93675   76084
93697   76090
93717   76094
93736   76101
93753   76115
93783   76124
93820   76142
93856   76156
93891   76179
93935   76190
93971   76215
94019   76229
94057   76247
94082   76252
94103   76252
94065   76235
93969   76207
93882   76167
93803   76145
93771   76124
93754   76114
93764   76123
93782   76123
93808   76132
93835   76145
93859   76155
93877   76163
93896   76163
93912   76173
93923   76177
93938   76183
93950   76187
93977   76205
94002   76215
94036   76219
94068   76223
94096   76234
94128   76249
94159   76267
94189   76279
94231   76298
94264   76311
94285   76314
94267   76299
94192   76266
94095   76234
94006   76204
93941   76172
93915   76161
93921   76164
93925   76168
93952   76174
93974   76184
94002   76198
94023   76215
94051   76211
94055   76210
94062   76208
94074   76212
94083   76223
94090   76232
93923   76177
94134   76183
93950   76187
94166   76261
94192   76272
94214   76283
94228   76300
94256   76311
94287   76310
94308   76310
94294   76299
94234   76277
94133   76241
94024   76200
93951   76164
93907   76149
93891   76128
93887   76128
93897   76133
93913   76142
93939   76156
93966   76154
93982   76168
94005   76176
94008   76173
94010   76178
94013   76177
94025   76184
94035   76183
94056   76193
94074   76197
94102   76205
94124   76216
94148   76222
94173   76238
94203   76251
94230   76252
94242   76259
94218   76253
94136   76214
94035   76173
93946   76143
