ired      red
96209   78845
89356   75167
98438   78233
98454   78220
98453   78206
98456   78204
98462   78204
98463   78208
98471   78209
98484   78200
98488   78201
98483   78196
98455   78178
98416   78167
98382   78144
98358   78142
98348   78131
98352   78134
98370   78133
98387   78137
98401   78139
98416   78150
98429   78157
98436   78152
98445   78145
98459   78136
98466   78135
98467   78133
98467   78143
98467   78141
98476   78142
98489   78146
98503   78149
98506   78145
98476   78130
98429   78109
98382   78092
98359   78086
98348   78076
98358   78090
98364   78092
98382   78095
98400   78098
98409   78108
98426   78104
98439   78100
98445   78089
98440   78082
98440   78078
98444   78068
98451   78079
98458   78076
98465   78071
98471   78069
98477   78066
98489   78068
98475   78060
98425   78043
98381   78021
98348   78004
98349   78001
98347   78001
98356   77997
98360   78005
98378   78004
98394   78011
98413   78013
98430   78009
98439   78012
98451   78011
98447   78005
98449   78004
98457   78010
98462   78006
98473   78003
98480   77996
98492   77999
98491   77998
98474   77992
98431   77975
98386   77944
98350   77933
98339   77919
98333   77921
98337   77923
98338   77927
98355   77928
98369   77925
98380   77922
98387   77926
98399   77928
98402   77921
98401   77910
98401   77902
98408   77904
98415   77889
98415   77892
98430   77890
98432   77881
98435   77885
98419   77870
98389   77855
98345   77827
98300   77821
98278   77808
98269   77807
98266   77802
98259   77799
98274   77797
98286   77798
98296   77804
98308   77807
98323   77802
98330   77798
98330   77801
98341   77792
98348   77788
98358   77788
98362   77788
98365   77788
98361   77788
98350   77783
98354   77782
98313   77765
98260   77745
98214   77730
98175   77713
98152   77713
98157   77713
98161   77699
98166   77702
98172   77701
98187   77701
98198   77702
98209   77705
98213   77702
98213   77701
98219   77694
98231   77697
98234   77696
98234   77692
98235   77690
98235   77684
98246   77684
98235   77686
98215   77673
98171   77655
98109   77639
98061   77618
98035   77606
98032   77593
98021   77577
98017   77574
98019   77579
98031   77577
98040   77569
98053   77571
98214   77730
98175   77713
98066   77566
98059   77566
98073   77562
98063   77549
98060   77555
98061   77555
98068   77548
98076   77550
98078   77552
98073   77554
98052   77542
97998   77523
97944   77495
97895   77466
97870   77452
97851   77448
97852   77456
97861   77441
97867   77447
97870   77446
97886   77449
97898   77450
97908   77447
97907   77450
97903   77448
97905   77450
97914   77445
97910   77445
97923   77449
97930   77437
97935   77447
97939   77441
97946   77441
97908   77418
97855   77393
97796   77374
97746   77362
97724   77346
97707   77341
97707   77339
97717   77345
97725   77344
97741   77334
97753   77341
97758   77341
97757   77336
97760   77326
97760   77331
97762   77327
97762   77322
97771   77324
97769   77334
97780   77317
97786   77316
97801   77315
97797   77315
97759   77298
97701   77273
97633   77249
97590   77233
97558   77215
97550   77214
97547   77209
97554   77209
97566   77212
97568   77215
97579   77219
97583   77222
97602   77218
97604   77215
97606   77210
97599   77214
97609   77216
97611   77211
97609   77202
97615   77202
97625   77193
97632   77197
97626   77193
97583   77183
97527   77160
97469   77135
97418   77115
97382   77108
97371   77092
97361   77088
97361   77079
97359   77084
97357   77085
97379   77084
97400   77086
97404   77088
97411   77083
97410   77085
97406   77081
97414   77078
97415   77068
97418   77071
97432   77075
97439   77071
97447   77075
97439   77077
97409   77065
97355   77038
97275   77002
97230   76984
97184   76976
97149   76968
97140   76957
97143   76957
97150   76960
97161   76963
97169   76966
97184   76966
97192   76976
97208   76972
97212   76963
97211   76962
97219   76957
97223   76962
97229   76959
97236   76960
97248   76970
97257   76967
97266   76969
97268   76971
97233   76957
97170   76925
97101   76906
97044   76881
97016   76873
96997   76869
96994   76862
96997   76866
97009   76870
97019   76878
97033   76874
97047   76867
97066   76871
97065   76871
97070   76877
97070   76872
97081   76878
97086   76881
97095   76881
97104   76891
97125   76888
97133   76891
97142   76891
97141   76888
97099   76871
97030   76842
96977   76828
96925   76811
96899   76809
96888   76808
96889   76802
96893   76810
96912   76801
96934   76808
96948   76813
96957   76810
96972   76819
96977   76819
96982   76819
96990   76824
97004   76870
97019   76878
97013   76827
97013   76823
97019   76830
97028   76834
97044   76842
97055   76842
97043   76834
97000   76825
96942   76800
96882   76773
96846   76771
96824   76754
96822   76747
96829   76754
96838   76753
96856   76768
96867   76768
96886   76778
96900   76776
96913   76776
96921   76776
96921   76777
96923   76779
96921   76785
96924   76780
96937   76787
96951   76786
96963   76791
96978   76806
96976   76809
96942   76786
96881   76772
96810   76734
96762   76714
96726   76704
96707   76699
96695   76696
96710   76693
96715   76701
96729   76708
96742   76710
96761   76710
96782   76727
96789   76722
96785   76721
96786   76721
96785   76719
96804   76723
96802   76730
96823   76734
96821   76735
96843   76745
96850   76744
96849   76734
96793   76707
96728   76691
96662   76675
96609   76654
96574   76651
96570   76642
96560   76642
96573   76642
96586   76646
96611   76645
96617   76642
96619   76640
96627   76651
96643   76656
96643   76657
96650   76660
96652   76666
96672   76673
96677   76675
96690   76675
96699   76683
96723   76682
96729   76696
96721   76697
96676   76680
96613   76667
96553   76640
96504   76628
96475   76616
96465   76609
96464   76614
96471   76619
96475   76622
96492   76623
96514   76629
96532   76635
96541   76643
96552   76646
96562   76651
96566   76656
96577   76658
96584   76655
96604   76661
96618   76669
96633   76676
96649   76685
96659   76692
96658   76692
96636   76683
96576   76660
96517   76636
96452   76620
96413   76610
96396   76608
96394   76611
96405   76606
96424   76613
96443   76620
96458   76629
96477   76637
96496   76650
96507   76637
96508   76643
96523   76640
96523   76642
96541   76648
96542   76658
96563   76663
96575   76671
96594   76680
96614   76685
96626   76690
96612   76691
96556   76672
96479   76652
96423   76627
96388   76615
96374   76608
96371   76609
96385   76616
96394   76622
96420   76623
96437   76635
96455   76633
96469   76641
96488   76655
96499   76651
96505   76654
96507   76662
96519   76664
96529   76667
96549   76668
96564   76678
96584   76688
96589   76687
96600   76695
96567   76689
96507   76669
96435   76642
96384   76633
96345   76614
96327   76611
96329   76608
96342   76610
96348   76609
96372   76617
96387   76633
96417   76635
96424   76643
96437   76639
96434   76641
96385   76616
96394   76622
96442   76651
96452   76652
96448   76661
96462   76665
96479   76660
96494   76660
96523   76682
96530   76683
96494   76679
96436   76654
96362   76635
96303   76608
96267   76588
96246   76584
96250   76591
96254   76593
96274   76606
96298   76615
96310   76619
96326   76620
96336   76622
96351   76629
96347   76624
96350   76629
96349   76628
96354   76624
96375   76628
96384   76636
96400   76642
96410   76654
96432   76660
96430   76658
96396   76645
96329   76622
96258   76604
96195   76580
96154   76564
96134   76558
96121   76558
96126   76557
96131   76560
96153   76563
96167   76571
96184   76576
96188   76583
96195   76587
96204   76593
96213   76595
96221   76601
96224   76600
96232   76612
96245   76610
96259   76613
96271   76617
96284   76625
96294   76628
96259   76620
96191   76596
96109   76563
96047   76547
95994   76525
95974   76523
95973   76527
95973   76530
95975   76528
95990   76537
95998   76541
96025   76561
96048   76565
96062   76571
96069   76577
96078   76591
96079   76590
96094   76597
96097   76590
96112   76595
96132   76608
96150   76613
96169   76615
96189   76622
96179   76625
96134   76610
96074   76589
95998   76559
95937   76540
95896   76530
95873   76523
95879   76525
95891   76533
95907   76542
95924   76552
95933   76555
95941   76560
95952   76567
95961   76561
95968   76559
95971   76559
95984   76563
95982   76571
95998   76577
96013   76583
96030   76594
96051   76600
96071   76607
96091   76621
96068   76610
96007   76593
95922   76569
95865   76548
95816   76529
95798   76527
95789   76529
95799   76537
95816   76543
95835   76549
95854   76552
95876   76557
95888   76563
95898   76570
95902   76571
95896   76574
95893   76574
95904   76575
95918   76580
95943   76582
95945   76582
95953   76580
95959   76584
95975   76584
95971   76594
95933   76580
95862   76561
95782   76535
95722   76520
95686   76512
95675   76504
95678   76498
95683   76496
95701   76499
95727   76512
95750   76523
95763   76528
95776   76539
95780   76537
95796   76546
95796   76543
95806   76556
95828   76568
95828   76567
95845   76573
95858   76580
95879   76587
95899   76598
95902   76598
95879   76591
95803   76568
95721   76535
95659   76513
95615   76494
95596   76488
