gx     gy    gz     ax    ay    az
64875  187  64573  9261  62502  51830
64874  173  64585  6947  63500  51678
64878  143  64585  8049  62684  50843
64913  173  64593  9464  62285  48909
64807  173  64581  9327  63040  49432
64914  184  64585  8755  63571  51169
64871  152  64579  8316  63813  51063
64867  168  64583  8764  62771  47559
64879  167  64576  9175  62912  45897
64876  178  64590  8911  63547  47240
64876  175  64590  9122  62960  48628
64876  173  64580  10206  62748  49056
64897  161  64589  9526  63231  48908
64904  122  64561  9457  62799  50032
64886  176  64580  8928  63510  51679
64886  167  64579  9410  62886  52142
64875  172  64591  10158  62564  51904
64876  170  64581  10581  62431  52148
64878  157  64592  9974  63486  53207
64883  157  64583  9775  63094  54646
64879  165  64578  10862  62355  56151
64888  160  64586  11928  62125  56441
64892  162  64583  12142  62254  56628
64868  169  64576  11711  62081  57976
64879  163  64580  10803  62434  58552
64888  154  64588  10926  63300  59285
64875  167  64584  11950  62682  61212
64878  164  64572  12487  62480  64714
64877  177  64591  12271  62488  1102
64871  162  64586  11614  62847  327
64879  170  64588  12241  63541  872
64868  186  64584  12711  62961  2002
64883  166  64587  12357  62475  3709
64864  182  64590  12484  63043  3823
64854  164  64586  13187  62609  4982
64886  193  64586  12443  62204  5693
64889  165  64582  13291  62181  6808
64859  146  64581  12029  63206  5076
64889  176  64582  11815  64432  6988
64855  174  64576  11099  63787  6957
64884  176  64576  10472  64102  8575
64882  169  64571  9718  64327  7491
64879  165  64582  9788  64610  8560
64882  169  64573  10714  64249  9193
64869  179  64577  11844  62653  11011
64862  167  64594  10681  63034  10659
64881  169  64579  7929  64409  9490
64866  183  64572  7341  64973  11412
64870  162  64577  9727  63072  12497
64893  178  64586  9762  62255  11505
64872  162  64596  7596  63678  10425
64868  181  64575  6237  64335  11848
64873  180  64577  8241  63204  13325
64874  177  64582  8812  62316  12714
64881  169  64581  5794  63057  11306
64879  176  64572  3069  65341  13535
64888  175  64583  6113  64067  15719
64881  172  64580  7189  63376  15225
64850  171  64579  4773  63847  11904
64892  175  64588  1631  65350  14913
64858  175  64574  4089  64879  18094
64884  163  64583  6660  64251  19745
64901  175  64580  6731  63413  22370
64872  171  64579  3123  63055  31215
64863  167  64594  161  62884  27824
64877  164  64576  63275  64363  14324
64879  170  64595  61425  100  10714
64877  172  64569  59089  65075  19036
64867  170  64575  61878  65072  23226
64890  170  64584  64692  64091  21108
64869  175  64593  64907  64577  17435
64879  182  64587  125  64593  17571
64875  181  64585  2177  64985  16605
64870  157  64584  3549  111  15996
64888  171  64594  4349  65168  14998
64870  159  64580  7008  64752  16089
64872  167  64575  6081  64718  16461
64874  174  64583  3695  65063  17937
64874  169  64576  3835  64258  16925
64860  168  64575  5384  63701  15962
64875  172  64572  5619  63864  15253
64880  177  64591  6600  64229  13720
64880  182  64581  6986  63311  14001
64881  185  64583  6580  62259  14979
64870  179  64566  6450  62583  13815
64874  181  64572  6259  62539  13370
64874  166  64577  7161  61696  13582
64880  174  64579  7112  62060  14844
64865  167  64576  7552  62475  13662
64888  174  64589  8585  61809  13574
64862  174  64584  8838  61327  13120
64872  160  64583  7888  61720  13092
64882  167  64583  7477  62013  12748
64870  158  64581  8259  61441  11895
64884  171  64594  8993  61071  11944
64888  171  64579  9324  61327  11810
64858  170  64575  9521  62447  10598
64881  165  64587  8921  62612  10322
64876  171  64576  8171  62455  10646
64879  173  64578  9009  61770  11251
64875  164  64577  10302  61904  9507
64874  169  64582  10774  62870  7839
64875  172  64576  10605  63374  8378
64886  169  64582  10616  62780  7606
64878  176  64579  11610  62421  7582
64861  183  64582  11443  63578  5853
64919  182  64593  10949  63856  4701
64871  170  64581  11222  62860  3801
64872  152  64579  12121  62741  2901
64883  172  64581  12278  63459  1830
64885  174  64582  12226  63479  65214
64877  155  64560  11274  64189  65268
64876  169  64575  11092  63568  65011
64879  176  64577  11275  62571  62975
64875  191  64574  11972  62066  61021
64878  178  64583  12093  62127  60286
64882  167  64590  11806  62850  59706
64880  154  64575  11412  63402  58845
64869  168  64580  11538  63328  57390
64879  164  64584  12284  63285  56229
64870  170  64595  13227  63145  54852
64890  161  64592  12897  63139  53633
64867  169  64570  11792  63315  53001
64863  169  64583  10917  63050  52860
64880  165  64581  9970  63212  52790
64873  174  64585  8713  63772  52030
64869  166  64575  7495  64103  51535
64870  160  64587  6601  64316  51176
64889  181  64584  6455  64332  50437
64875  170  64578  6515  64347  49798
64858  176  64576  6150  64288  48958
64873  157  64585  6285  64027  47988
64875  185  64586  6342  63718  47683
64877  161  64586  6877  63574  46958
64873  160  64577  6579  63848  46132
64888  162  64584  6779  64273  45139
64880  164  64584  6947  64530  45230
64870  165  64573  7257  64343  45496
64884  166  64583  7817  64032  45645
64886  178  64583  7771  64203  46299
64874  180  64577  7515  64181  47133
64863  168  64587  7472  64170  48356
64882  170  64593  7752  63916  49320
64883  174  64592  8169  63797  49854
64876  162  64575  8269  63939  51240
64873  169  64576  8445  63894  52323
64870  173  64584  8929  63738  53560
64865  170  64582  9602  63489  54359
64894  161  64581  10202  63298  55396
64872  167  64586  10495  62995  57277
64876  178  64581  10247  62789  58431
64875  172  64582  9854  62668  59179
64891  184  64581  10023  62580  59996
64870  179  64588  10457  62805  61473
64860  182  64583  11295  63226  63020
64866  175  64589  12492  63187  64174
64872  183  64585  13478  63168  64969
64867  170  64571  13532  63294  65523
64882  182  64577  13092  63433  65347
64874  187  64580  12744  63207  722
64870  176  64581  13120  62853  2303
64878  163  64584  14049  62416  3563
64877  186  64585  14488  62234  3961
64888  168  64581  13571  61943  3984
64869  166  64586  12276  62667  4524
64883  174  64589  11196  63673  5486
64891  178  64582  11474  64486  7137
64874  174  64582  11872  64556  6929
64864  167  64585  11699  64050  7430
64874  179  64582  10962  63348  8790
64871  171  64585  10835  63315  8234
64874  166  64581  11826  62844  9681
64866  170  64582  10787  63445  9966
64872  157  64589  9554  64169  9852
64880  173  64581  9216  63905  10020
64880  168  64579  9962  62944  11008
64885  166  64578  8830  62650  10852
64876  156  64580  8344  62898  10669
64874  166  64584  8833  63620  11004
64869  171  64585  9266  63241  11564
64878  173  64578  7950  63346  11700
64889  175  64578  5876  63810  12228
64871  170  64577  6140  63613  13231
64864  177  64590  7312  62394  13562
64889  166  64585  8072  62709  12452
64872  175  64586  6181  64020  12133
64864  164  64589  4071  64361  13584
64891  166  64569  5420  63803  14195
64869  167  64566  6444  63639  15437
64880  166  64581  5229  63905  15517
64875  187  64579  3921  63342  27116
64864  167  64591  4399  62316  32760
64827  159  64567  465  62795  24531
64881  162  64581  60938  64949  18342
64885  170  64587  58917  65063  20124
64872  174  64579  64624  4  20193
64872  147  64577  2685  64552  16165
64864  154  64572  7305  742  12811
64880  166  64580  7351  64571  15178
64877  174  64582  3096  64348  18328
64872  168  64585  1321  64215  17028
64885  177  64574  3690  65158  15334
64883  166  64573  6731  117  15255
64865  175  64570  8043  280  15980
64886  169  64587  7614  65267  15839
64871  168  64576  7214  64075  14600
64882  163  64583  6046  64440  13941
64897  166  64574  5738  64605  14792
64883  177  64588  6260  64034  16134
64876  177  64573  7265  62810  15029
64868  173  64583  8410  62246  14741
64867  171  64588  7247  63156  14798
64881  172  64594  6641  63079  14401
64883  172  64583  7207  62673  14154
64864  179  64585  7925  63434  14148
64869  180  64580  8190  63146  13785
64880  168  64592  8259  62236  13078
64873  163  64584  8159  61652  12010
64878  158  64570  7942  61752  12282
64866  169  64569  7959  62221  13095
64875  178  64585  8507  62162  12527
64877  173  64588  8944  61697  11029
64878  167  64588  9197  61241  11268
64876  163  64585  9340  61578  11434
64893  171  64576  9580  61832  11194
64876  159  64579  9830  61696  9350
64889  180  64585  9779  61773  9187
64874  192  64585  9260  62266  9485
64869  165  64579  9693  62548  9340
64875  188  64588  10934  62488  7316
64886  176  64587  11772  62248  5793
64881  182  64573  11645  62489  4899
64877  166  64582  10777  63229  4683
64884  167  64586  10311  63458  4113
64882  175  64589  10851  63298  2538
64873  185  64579  12007  62977  687
64880  178  64583  13052  62887  64892
64874  170  64585  13303  62973  63925
64869  176  64576  12890  63368  62885
64887  173  64583  11849  63808  62549
64879  173  64582  11640  63818  62295
64884  175  64592  11828  63905  60521
64892  179  64586  11935  63882  59081
64882  168  64572  11302  63882  57921
64892  173  64581  11172  64167  56948
64894  179  64585  10937  64432  56691
64882  162  64586  11555  64404  55679
