gx     gy    gz     ax    ay    az
64866  161  64578  52156  12191  2054
64877  177  64577  53787  8542  532
64874  179  64586  54431  4374  2004
64888  170  64579  54579  65090  3208
64880  174  64567  52226  403  4315
65392  65535  64558  51695  2668  4285
64869  172  64555  52915  5884  3844
64886  167  64576  55743  9094  1997
64877  173  64564  59055  13935  1025
64881  185  64574  55938  24298  58604
64873  169  64590  49638  32760  55006
64867  180  64568  57975  32445  53960
64866  156  64586  1100  32760  48045
64877  165  64580  5991  32760  54798
64874  172  64587  2613  28878  61167
64870  170  64577  633  26187  65492
64871  163  64569  5015  23131  580
64894  166  64583  9688  21392  62010
64881  157  64574  13211  16928  59847
64874  168  64587  17845  11274  58802
64875  175  64587  21491  9369  61058
64873  175  64584  22420  9867  64934
64877  179  64574  18991  12765  65428
64878  169  64587  15089  15760  61147
64872  180  64580  12221  17957  56986
64873  166  64578  9138  25532  53174
64884  169  64584  3498  32760  54583
64869  161  64592  64737  32760  57010
64878  170  64584  61846  32760  55242
64878  174  64579  59741  32760  52555
64895  174  64577  56634  32760  55249
64878  176  64585  55137  29625  57415
64865  170  64577  52579  24142  57300
64858  174  64580  50726  17335  56060
64871  184  64585  50623  9298  61436
64782  193  64616  53817  65234  5449
64874  172  64584  43670  58801  4369
64871  172  64586  39621  55541  5369
64887  161  64577  40242  59118  2310
64886  170  64574  45138  2864  63964
64887  175  64587  51019  8412  62429
64870  169  64584  54975  9923  63045
64859  167  64582  56540  8939  62704
64878  161  64582  53632  18922  61819
64880  183  64582  45216  25036  58457
64876  169  64591  52189  25362  56274
64880  178  64591  62491  32760  52949
64874  173  64583  1454  32760  54608
64880  180  64582  1086  32760  58269
64879  178  64589  1948  32760  57884
64893  169  64586  6392  29529  58644
64876  170  64590  11740  23585  60104
64884  165  64590  15504  18148  59503
64878  164  64598  16923  13872  61041
64877  163  64586  20362  10436  63123
64880  163  64580  25207  7950  64466
64878  177  64588  27066  9571  64629
64882  154  64588  25416  12695  62609
64878  172  64596  20856  14659  60063
64883  177  64581  15502  16229  58357
64845  140  64599  2694  19486  61999
64871  160  64582  3727  32760  57749
64861  177  64576  64718  32760  56875
64879  167  64578  64205  32760  56551
64871  177  64576  62486  32760  55210
64859  156  64579  56543  32760  54417
64870  160  64571  50039  32760  54866
64935  145  64578  47760  26343  55412
64875  182  64581  49080  17364  57003
64868  208  64585  52002  8419  65533
64872  168  64599  45562  2151  62352
64881  168  64588  43427  61829  1045
64881  185  64577  44818  58659  3870
64884  173  64567  47848  59465  3605
64885  168  64577  46969  128  6214
64872  170  64589  44399  5337  3451
64880  168  64589  46234  6238  1986
64877  166  64587  50782  7683  61785
64893  169  64592  53249  16158  59836
64865  161  64578  54887  22898  58956
64879  182  64586  57996  29353  59012
64866  161  64576  1539  32760  59166
