gx     gy    gz     ax    ay    az
64872  181  64581  53710  6183  633
64866  167  64581  50377  7399  64999
64879  164  64582  48962  8121  60888
64871  183  64581  50529  10282  58923
64889  170  64578  51678  15689  59563
64868  163  64581  52498  17686  62488
64861  167  64571  55360  18584  62613
64866  173  64578  57069  19847  61276
64872  160  64581  57124  21985  60299
64873  165  64584  56881  22897  60389
64878  179  64581  58569  22319  61276
64874  169  64586  61999  21395  61619
64881  171  64584  65277  20288  62188
64884  177  64584  414  19114  61948
64886  171  64585  65404  18575  61033
64875  167  64583  64614  18235  59070
64874  167  64572  473  19575  57726
64885  165  64579  2720  19654  59027
64884  161  64586  4386  17873  61256
64879  168  64585  4292  16709  62186
64870  174  64586  2872  17245  60988
64889  178  64575  1117  18778  57825
64885  186  64588  65330  21506  55982
64867  165  64588  65393  25078  55489
64873  187  64576  63177  28008  55844
64887  162  64579  61558  28734  54171
64862  175  64591  60792  28762  51058
64885  162  64582  61344  27783  50765
64884  172  64578  61344  27125  51068
64887  173  64597  59964  25361  53223
64877  173  64598  60486  21724  55970
64875  169  64575  60884  20110  57891
64871  172  64580  59174  20996  57196
64868  172  64582  57497  21467  56402
64888  176  64585  56956  20782  57589
64882  173  64588  56435  18768  58296
64866  162  64597  56457  16900  57621
64880  160  64581  56171  15021  58738
64881  161  64578  54026  13443  61847
64873  179  64569  51379  11702  65404
64870  167  64586  49162  10106  2874
64864  162  64589  49960  8617  1126
64868  175  64568  51437  9245  62309
64857  178  64584  51556  12390  58301
64881  179  64587  50707  13738  57664
64882  165  64578  51274  13562  58326
64874  170  64587  52902  14882  59069
64875  170  64572  54486  15814  59907
64892  170  64594  56552  16547  61563
64878  178  64581  58389  17145  63054
64884  180  64585  60099  18070  63560
64866  171  64580  61683  18561  62236
64872  169  64582  62629  18402  60152
64881  173  64599  62993  17872  58793
64893  179  64600  62685  18714  58373
64879  176  64578  63961  21209  57722
64877  166  64584  463  21791  57245
64871  164  64584  811  20803  58422
64863  166  64579  646  19323  59760
64871  171  64587  65368  18312  59774
64878  170  64585  448  19436  58834
64889  155  64583  1633  19963  57247
64867  161  64576  809  20451  57685
64900  174  64583  64669  23005  56931
64877  174  64594  61738  26971  52836
