gx     gy    gz     ax    ay    az
64889  163  64584  10257  2505  1318
64879  181  64569  7271  782  1094
64878  160  64579  6054  87  64894
64872  169  64592  4976  65429  64240
64876  163  64587  3506  113  64911
64884  173  64581  3792  766  65171
64886  167  64582  4722  1492  64478
64872  158  64589  5979  1785  63704
64867  154  64578  7984  1732  61977
64881  168  64582  11149  1281  60996
64866  170  64582  19723  969  61274
64891  176  64578  29838  65524  60219
64872  164  64579  32760  560  58280
64866  179  64591  32760  1020  56859
64869  178  64575  32760  63582  61221
64875  178  64579  32760  59373  232
64872  163  64572  32760  58971  1438
64866  163  64587  29161  61668  3817
64884  169  64587  22054  65108  3562
64864  173  64593  16403  621  64860
64882  173  64586  12533  520  61773
64868  175  64575  9267  64461  60982
64884  169  64585  6609  64231  61306
64883  172  64588  4442  64619  63462
64884  166  64577  2319  207  1581
64885  173  64574  65260  1322  3500
64865  178  64595  61865  1071  4106
64875  174  64590  61746  1478  3283
64879  172  64582  63552  1150  1823
64878  175  64588  76  777  64841
64878  180  64579  771  746  63190
64885  177  64580  549  1325  63364
64870  174  64586  1147  1664  64003
64868  171  64591  1311  886  64413
64879  169  64581  1697  90  64083
64891  183  64575  2798  65154  63724
64884  162  64579  5901  65254  63640
64889  173  64585  10764  326  63469
64868  155  64600  17338  1710  61565
64883  167  64584  21430  3019  61224
64882  177  64584  26295  3260  1512
64882  170  64590  30848  1455  8099
64893  175  64573  32760  64683  11419
64866  167  64582  32760  73  4339
64878  166  64579  32760  1485  55815
64874  171  64583  32760  3250  52061
64885  173  64575  30006  2845  58895
64882  164  64580  21032  1937  64274
64865  170  64580  13892  1527  566
64877  178  64570  7988  519  1529
64881  174  64586  5065  135  1661
64876  164  64570  2983  632  2192
64866  168  64585  1130  162  1271
64866  170  64593  48  65243  12
64885  176  64583  65106  478  185
64864  177  64584  1111  745  771
64859  176  64575  5272  709  65210
64874  175  64579  9785  153  64368
64872  172  64596  14747  65351  63092
64872  182  64586  21517  65387  61452
64875  167  64567  29485  317  62033
64873  169  64586  32760  64865  62151
64893  170  64569  32760  61953  63087
64861  173  64567  32760  60192  714
64876  177  64571  32760  60182  2561
64867  176  64589  32760  61715  3417
64871  172  64577  29173  63115  4011
64879  173  64571  25344  65289  104
64873  177  64584  19650  846  64360
64892  174  64581  12574  908  64025
64898  178  64575  6786  65381  64700
64878  174  64580  3837  64579  63200
64876  172  64581  3001  64574  62581
64874  159  64589  1975  64175  63684
64881  175  64585  65415  65250  964
64876  166  64584  64449  83  3068
64885  159  64580  64954  973  3479
64864  172  64591  65379  1816  2758
64868  162  64576  1036  1540  999
64873  189  64576  1165  1286  64973
64877  167  64587  1452  929  64067
64868  169  64579  1436  1025  63460
64876  165  64599  1907  983  63478
64879  171  64593  3350  1203  63506
64879  166  64579  4467  835  62939
64870  168  64593  6877  615  62258
64870  174  64574  11461  416  62022
64875  166  64570  17555  371  61534
64867  180  64583  22264  1298  61309
64854  177  64582  24769  2131  823
64884  171  64588  25749  2424  8889
64879  178  64584  28560  1013  13847
64872  175  64580  31013  64492  11228
64865  167  64580  32760  398  62977
64881  161  64590  32760  1023  52557
64867  179  64585  28816  209  54986
64872  175  64580  17776  65315  62325
64863  165  64579  10680  1200  188
64890  190  64584  7535  1518  64937
64868  170  64590  5810  1454  64651
64877  177  64577  4183  287  37
64876  179  64577  2840  65185  65330
64871  177  64585  3710  64817  64361
64876  172  64579  5405  65371  63468
64890  175  64594  7346  703  62831
64871  166  64577  9578  689  62434
64872  170  64575  13891  268  61935
64883  170  64580  21273  64078  61301
64880  165  64578  31125  63851  59393
64889  167  64579  32760  63708  53727
64876  184  64583  32760  61901  50640
64878  186  64575  32760  60419  58148
64882  180  64589  32760  60155  64744
64880  161  64577  32760  62192  233
64887  170  64580  28119  62946  897
64866  172  64584  17979  64960  56
64867  167  64584  11230  737  63963
64887  177  64577  7120  863  62443
64869  172  64582  4144  1074  61774
64881  154  64572  2150  920  62507
64883  162  64579  65385  891  64235
64875  174  64590  62612  65535  1756
64886  172  64582  60503  65156  4799
64882  176  64583  61138  65164  5384
64866  164  64577  62671  592  2733
64875  175  64583  63736  494  1259
64865  169  64578  64138  65486  65527
64876  171  64575  65009  65160  65457
64870  166  64578  1151  65254  64020
64886  164  64593  2124  47  63482
64880  168  64588  1830  65441  63696
64876  169  64582  2673  65301  62558
64870  169  64583  5421  65416  61712
64885  174  64585  8459  65361  61819
64876  186  64581  12228  350  62845
64888  178  64587  18134  1354  60634
64865  176  64583  23279  2253  60594
64881  175  64584  27758  1710  298
64881  175  64585  29235  64766  11096
64887  185  64574  32535  61644  19430
64860  174  64588  32760  63955  5113
64872  169  64587  32760  492  50451
64881  172  64582  32760  1224  50594
64880  187  64590  22882  1860  61496
64881  183  64590  15247  1872  182
64877  165  64574  10702  1817  64645
64879  152  64582  7798  835  64924
64868  171  64583  5544  281  64743
64888  161  64578  3630  65033  65473
64871  185  64593  2485  64962  85
64864  168  64576  2707  65504  764
64879  160  64584  3741  749  64973
64893  177  64583  5399  1138  63269
64895  169  64589  8385  893  61871
64882  162  64577  11736  917  60674
64878  146  64583  18395  162  59188
64878  166  64587  27524  223  59294
64883  161  64579  32760  65401  59177
64885  179  64588  32760  63897  57953
64919  88  64567  32760  62023  56696
