gx     gy    gz     ax    ay    az
64865  164  64578  60501  18339  62347
64875  167  64586  61342  17339  62235
64887  171  64597  62368  16757  62397
64866  183  64575  62361  15720  64000
64885  173  64591  62647  15576  65376
64868  170  64580  63496  16431  64772
64864  165  64591  65180  16467  64245
64859  167  64579  150  16575  63564
64871  181  64590  540  17037  63992
64885  166  64588  686  17862  63351
64876  164  64584  788  18738  62831
64875  162  64585  810  19636  62986
64873  162  64585  300  20311  63147
64857  174  64588  65535  20076  62729
64867  178  64580  64975  19548  61963
64863  169  64581  64950  19325  60891
64875  167  64574  65051  19416  60537
64867  179  64576  63855  21892  58889
64895  170  64590  62276  24368  57581
64873  164  64573  61411  24482  57635
64884  170  64584  60961  24296  57888
64894  167  64591  60815  23093  58674
64889  178  64583  60918  22329  58807
64869  161  64571  60574  22743  58667
64880  166  64593  59845  22602  59000
64878  165  64590  59239  21498  59595
64884  173  64576  58860  20820  59577
64881  180  64583  58730  19937  59593
64868  169  64586  58752  19016  60392
64880  158  64588  58829  17603  60817
64879  172  64587  58637  16105  61364
64867  170  64590  58640  14699  61453
64886  168  64578  58478  13239  61564
64882  168  64585  58180  11590  62259
64881  169  64576  57790  9383  62305
64866  168  64579  55751  6858  61694
64875  166  64589  53458  7163  60897
64880  163  64579  52301  10204  59692
64879  164  64584  52784  13850  60538
64871  166  64583  54060  17973  59880
64873  174  64580  55552  20142  60792
64873  167  64585  56187  20295  61506
64865  173  64569  54833  19803  62421
64869  173  64579  52409  21487  61864
64862  193  64574  52135  20785  61338
64871  162  64580  53633  19399  59682
64863  167  64584  56053  17742  58939
64863  179  64588  58216  16681  59516
64875  179  64573  58933  17335  60262
64877  176  64579  59209  17768  61023
64875  177  64579  59827  17619  61297
64883  171  64585  60880  17812  61086
64865  180  64586  61946  17316  61791
64885  161  64582  63023  16406  61295
64884  167  64586  62469  15108  61294
64878  184  64588  62752  13690  61336
64856  152  64585  63958  13473  60822
64877  160  64581  64852  13232  61002
64876  163  64581  15  14097  61891
64886  163  64582  65266  16167  64070
64858  160  64585  65510  17036  64196
64876  167  64584  1033  16157  63062
64875  166  64583  1632  16251  62599
64879  171  64594  683  18108  63273
64880  160  64580  64993  20192  63132
64887  170  64582  63822  22261  62941
64879  153  64588  63570  22605  62808
64882  157  64589  63355  21702  61761
64868  159  64580  63103  20805  59550
64881  161  64591  62004  22950  58544
64860  166  64578  60889  25157  57975
64882  176  64589  59595  24919  57507
64886  171  64587  59017  24656  57217
64886  162  64575  59179  23619  58114
64875  164  64583  60479  22427  59469
64881  180  64582  60732  21856  60465
64867  163  64580  60560  21778  60960
64880  171  64579  59734  21417  60170
64883  170  64578  58558  20568  59189
64874  169  64584  59015  19259  58966
64884  175  64581  59759  17913  59163
64882  172  64592  60170  16757  59541
64882  175  64573  60254  15735  59695
64859  173  64583  59592  13852  58887
64867  172  64585  58865  11484  57048
64875  175  64580  58620  8738  56532
64896  175  64584  58353  8561  56662
64872  187  64587  58346  10127  57915
64874  175  64579  58686  11685  60031
64867  169  64583  57083  12317  61162
64870  182  64579  54853  11447  62014
64877  167  64580  52607  11964  62994
64870  180  64591  52280  13850  64480
64874  179  64588  52978  16668  64812
64872  171  64576  53991  18983  63344
64888  172  64590  53959  20926  61889
64879  173  64588  53036  22062  60883
64877  171  64580  53752  19825  59446
64894  161  64591  55641  17750  58172
64874  169  64579  57944  16431  58620
64876  163  64590  58514  16121  58485
64876  155  64586  58305  16150  59071
64876  166  64586  58135  17090  61180
64875  175  64583  58302  17421  61333
64877  163  64579  59622  18573  60529
64873  170  64567  62634  17948  60202
64885  174  64582  63622  17174  60276
64873  166  64574  63437  15767  61325
64878  167  64577  63694  15166  62408
64883  176  64589  64034  15321  61787
64879  175  64581  457  16511  62678
64873  161  64576  1695  17240  63252
64874  160  64587  1629  17606  63340
64886  159  64584  746  18632  61504
64872  168  64585  16  19742  58736
64888  179  64577  518  19743  55072
64866  165  64574  791  17855  56881
64860  173  64587  886  16754  59055
64889  166  64589  65142  17264  60894
64874  173  64577  63962  18758  61766
64871  167  64573  63269  20074  59271
64878  172  64590  61798  22355  55667
64868  160  64582  60476  23501  54261
64870  185  64580  59501  22634  53016
64882  158  64581  60503  20951  52952
64874  172  64583  61252  20352  53716
64900  180  64587  60816  20243  53200
64873  168  64581  60376  20349  53130
64871  183  64576  59601  20522  52807
64867  171  64575  58930  19590  54489
64865  169  64582  59334  18699  56265
64869  160  64589  59483  18478  56504
64881  169  64583  60058  17661  57340
64873  155  64581  59748  16470  58447
64876  169  64585  59109  14795  59212
64865  160  64581  58118  13327  59440
64873  169  64574  57418  12285  59649
64884  171  64578  57183  11230  60206
64886  161  64580  57606  11479  60647
64882  175  64583  56830  11976  61163
64881  155  64583  55838  12422  61274
64872  151  64581  55395  12099  61525
64887  179  64588  54838  12845  60583
64874  178  64582  54707  15276  59583
64875  153  64584  55137  16696  60144
64871  180  64582  54818  17178  61389
64874  182  64585  53869  18784  60340
64868  160  64585  54001  18821  59488
64881  165  64583  55178  18210  59812
64897  175  64588  56761  17651  61181
64872  171  64576  58162  17730  61553
64884  173  64588  59399  17929  60521
64868  162  64575  59471  18155  59791
64882  168  64578  59640  18266  59396
64873  182  64580  60205  18114  59850
64892  173  64582  60517  17749  59905
64873  173  64588  61032  17597  60456
64882  173  64581  61739  17354  61202
64876  174  64580  62594  16603  62607
64872  169  64581  63213  15888  63550
64888  174  64576  62896  15012  63974
64884  172  64570  63179  15045  62911
64861  167  64574  64361  14493  61003
64873  169  64578  65114  14578  62136
64875  175  64577  65167  15731  62162
64865  173  64582  1227  17394  60563
64889  167  64577  1402  18657  58921
64867  164  64588  1034  18420  60464
64874  177  64583  134  17946  59215
64877  163  64582  64990  17746  58193
64870  177  64588  65083  16744  57654
64878  176  64584  85  16863  56472
64878  177  64592  64597  18248  55306
64880  162  64590  61513  22476  53508
64888  177  64585  59647  24819  53297
64882  164  64581  59117  22771  53734
64873  165  64580  60837  20821  53888
64879  174  64599  62052  20223  55460
64868  171  64585  61994  21575  56634
64873  169  64580  60981  22403  56952
64861  166  64593  59886  21900  56732
64872  171  64587  59118  20493  55646
64885  160  64574  58429  19712  55138
64881  161  64580  58283  19360  55356
64859  175  64581  57763  18377  56015
64884  170  64574  57120  17109  57289
64880  162  64574  57263  15783  57972
64872  166  64570  58056  14506  58316
64870  173  64579  59374  13662  58669
64871  175  64585  60545  13406  59833
64881  174  64581  60555  12933  60982
64884  167  64585  60326  12767  61384
64870  172  64578  59933  12336  61047
64882  181  64569  59579  12201  60879
64883  173  64583  60089  12626  60835
64876  179  64579  59690  13792  60664
64886  180  64584  59539  14806  61485
64874  171  64576  59005  16130  61958
64880  176  64570  58610  16632  61895
64876  164  64560  56546  18118  64708
64886  172  64581  56455  21327  428
64875  175  64581  58880  21864  764
64879  181  64570  60400  19362  65181
64880  164  64583  60427  17587  61888
64881  167  64571  59694  17173  60868
64883  174  64580  59746  16887  60037
64879  169  64577  60943  17249  59484
64868  160  64572  62096  18314  59955
64875  157  64592  62544  19177  59884
64891  163  64586  62523  18204  60217
64881  172  64578  62101  16862  60273
64876  162  64584  61748  15498  59171
64880  164  64573  62950  15447  58157
64874  162  64577  64347  14369  58046
64893  170  64576  64049  13780  60004
64873  172  64576  64158  13148  61459
64875  161  64571  63329  12818  61764
64875  175  64572  63011  12673  61051
64888  176  64575  64764  13439  60141
64881  170  64581  65465  14329  61577
64875  166  64588  65074  15713  63736
64877  170  64572  63981  17225  63884
64882  174  64581  63411  17653  61643
64875  160  64584  64092  17805  59026
64861  172  64581  63970  17361  56802
64881  175  64578  63554  17254  57067
64879  168  64576  62512  17112  58697
64872  168  64582  61526  16964  60423
64871  177  64579  60794  17007  60845
64891  175  64590  60122  16964  60185
64872  167  64584  59306  16960  58150
64871  180  64578  59024  16600  57458
64877  169  64585  59474  15661  58019
64885  171  64586  59222  16927  57205
64881  165  64586  58032  18304  55814
64874  161  64570  57923  18839  55770
64867  187  64577  56716  20409  54471
64883  180  64576  55895  21654  52312
64877  172  64586  55932  19949  53507
64873  189  64575  56137  18902  53962
64873  174  64580  57101  19629  53579
64872  169  64572  58509  20045  53254
64895  172  64580  59796  19588  53047
64880  180  64570  60378  19303  53389
64881  175  64591  60573  18429  53598
64883  164  64581  60452  17957  52970
64881  157  64582  60238  16922  52959
64876  167  64582  60301  16223  52849
64867  162  64582  60542  15372  52908
64890  168  64589  59784  14680  53769
64871  170  64585  58856  14542  55056
64884  154  64581  57844  14971  55084
64881  175  64570  57424  14974  55612
64870  167  64586  56598  15275  55510
64887  165  64591  56288  15633  55475
64872  158  64577  55961  14803  56085
64872  157  64585  55604  14120  58875
64883  174  64580  54335  14557  59402
64866  166  64581  53572  14966  58672
64872  163  64580  53153  16092  58947
64880  180  64578  52441  17541  59526
64883  170  64578  54048  15383  59890
64881  169  64577  56174  12944  61927
64879  179  64585  57517  11032  64493
64877  174  64581  57517  13567  64178
64888  188  64585  58070  15537  62727
64894  184  64572  57392  17072  62959
64879  175  64573  56769  18622  63003
64865  178  64578  57305  19269  63156
64884  175  64574  58740  19062  63551
64881  170  64569  60167  18642  64520
64877  181  64591  60442  18133  65490
64869  179  64586  60969  18479  324
64873  168  64589  62166  19183  59
64878  173  64580  62067  19792  65337
64877  159  64577  62366  20131  65106
64893  173  64581  63099  20032  64744
64886  164  64582  63689  19622  63729
64884  164  64583  63927  19009  62149
64874  175  64577  64139  18615  61274
64865  177  64582  63554  18056  60543
64877  176  64594  62800  17110  59098
64874  176  64584  62850  16866  57291
64891  158  64580  62780  16441  56164
64866  165  64580  62203  16475  55022
64882  163  64581  61029  18989  53070
64875  173  64584  59094  21901  51228
64866  163  64586  58678  21460  51011
64878  180  64574  58975  20555  53335
64868  159  64586  59162  20773  53927
64869  166  64579  58963  21543  53457
64882  170  64590  58270  21233  53298
64878  184  64577  57115  20751  53768
64874  164  64584  56853  20745  54221
64878  170  64580  56426  21035  54099
64887  175  64581  56263  20846  54842
64883  181  64587  55829  20894  54800
64872  180  64583  55312  19415  55028
64872  166  64579  54707  17890  55485
64879  164  64584  54694  16013  56498
64877  178  64583  54939  14387  57424
64868  165  64576  54962  12593  58480
64872  166  64587  54942  11551  60039
64881  172  64581  54724  10925  60958
64875  162  64578  53344  10614  61733
64873  178  64572  53410  10788  62485
64885  163  64585  54020  11001  62784
64871  168  64578  54252  12032  62948
64865  179  64582  54223  14482  61967
64884  175  64581  54181  16849  61937
64874  163  64592  53678  18132  61987
64875  172  64594  53722  19648  61505
64889  180  64586  53649  20520  60998
64874  178  64580  54119  19524  60439
64888  182  64584  55075  18545  60448
64866  162  64577  56902  17048  61378
64867  178  64582  58479  16988  61608
64882  165  64577  59153  17710  61057
64882  169  64570  59091  18269  60977
64876  177  64580  59245  18595  61765
64879  163  64579  59381  18680  61921
64875  149  64570  59568  17714  60713
64863  169  64594  60810  17048  59330
64880  174  64590  61410  16884  59599
64878  160  64581  61732  16607  60743
64877  169  64574  62339  16635  62142
64888  169  64579  62685  16696  62756
64881  166  64572  62849  17427  62111
64878  155  64582  63846  17446  61457
64860  165  64575  64413  17348  61640
64870  168  64575  63768  16993  62197
64867  170  64573  62913  17469  62879
64876  170  64579  62363  17994  62125
64877  168  64579  62916  18183  60771
64882  176  64571  63247  18527  60474
64883  180  64578  63025  19130  60443
64875  179  64584  62728  19344  60204
64884  187  64584  62215  21223  58604
64878  167  64578  62002  23321  56818
64884  172  64574  61374  23817  55891
64881  171  64581  59905  24572  54996
64888  158  64567  58243  25403  54718
64881  174  64577  58041  23790  56279
64880  177  64584  58312  22236  56889
64883  179  64583  59223  22473  57548
64871  180  64574  59014  23578  58679
64869  168  64580  58241  23880  58454
64873  175  64575  56973  23252  57836
64879  156  64580  56020  21451  58091
64875  165  64572  55410  20240  57702
64891  167  64594  56237  18425  58475
64877  170  64593  57007  17545  58640
64865  163  64583  58225  16547  60485
64876  165  64594  58622  14988  61528
64882  172  64579  58070  13461  61146
64868  168  64592  57932  11980  60371
64884  166  64574  58253  10798  58666
64884  165  64588  58073  10470  59241
64864  161  64576  57588  10651  61130
64877  169  64592  56079  10553  62262
64880  180  64585  53966  10327  62185
64881  180  64585  52407  10934  61518
64884  173  64576  51993  12110  61628
64869  166  64569  53682  14971  61704
64873  162  64580  53903  17826  62124
64869  169  64587  52827  20139  62095
64881  165  64580  52536  20741  60799
64872  169  64578  53321  20988  60738
64887  183  64583  55113  20355  61189
64879  175  64576  57997  21525  61330
64883  169  64582  59275  21664  61076
64890  178  64582  58882  20237  61166
64869  164  64581  58207  19018  60132
64886  168  64578  57372  18763  58083
64868  169  64577  59470  19742  57368
64882  177  64593  61465  18963  57363
64873  165  64581  63460  17935  58250
64868  170  64578  62519  17204  60852
64871  161  64582  61301  16582  61546
64891  171  64592  61482  16262  62246
64882  171  64587  62734  16488  63009
64876  164  64586  63181  17266  64682
64884  170  64584  63617  16668  64196
64888  167  64589  64197  15992  62393
64871  167  64581  63593  17383  63342
64867  168  64596  62298  18720  63867
64872  163  64575  63276  20271  62984
64883  174  64583  65003  20691  62656
64888  183  64579  376  20518  61320
64890  178  64590  64218  21869  59677
64884  162  64587  60853  24547  59700
64877  167  64585  58531  27160  58549
64877  173  64592  58818  26374  56111
64885  160  64599  60003  25190  53875
64873  158  64585  59437  22376  56625
64877  164  64586  58256  22235  58222
64890  166  64589  57613  22544  57826
64877  173  64578  57138  23109  57032
64857  178  64590  57179  22710  56084
64874  186  64587  57252  21572  55363
64891  156  64581  57670  21061  54776
64888  177  64592  58399  20602  54525
64881  175  64579  57981  20271  54256
64871  167  64585  57548  18820  55765
64887  183  64586  56930  17108  57371
64875  169  64577  56574  14872  58262
64870  182  64583  56608  12244  58584
64874  176  64582  56561  9885  59731
64867  160  64582  55847  7804  60766
64875  178  64581  55505  6972  61241
64889  167  64569  54603  7674  60121
64868  178  64579  53612  8814  59228
64881  175  64584  53290  9247  60017
64872  172  64576  52783  10336  60948
64875  174  64568  52355  11739  60522
64905  180  64577  51422  15123  58981
64883  165  64581  51252  17577  58306
64876  181  64579  52723  18332  58493
64881  171  64595  54018  18279  58243
64880  156  64574  55948  18193  58294
64866  165  64583  56879  19389  59270
64882  170  64586  57041  19515  60283
64879  166  64588  56434  19256  60876
64879  170  64584  56304  19968  59852
64874  169  64590  57596  20574  59065
64867  180  64584  58890  20040  59142
64869  176  64581  60631  19238  59085
