gx     gy    gz     ax    ay    az
64877  181  64577  63976  15927  61613
64873  175  64574  64584  14641  62654
64873  172  64567  63614  14457  62975
64875  173  64573  62476  13343  62915
64879  163  64577  61491  12369  62282
64882  175  64579  61086  11435  63230
64885  180  64573  60875  10981  64632
64891  178  64573  61351  10442  62727
64869  179  64584  62528  10496  63599
64886  166  64571  62857  10433  63226
64891  158  64572  62419  10735  63962
64871  167  64571  62071  11062  65212
64875  151  64584  61336  11665  65451
64879  173  64569  60736  12012  65113
64875  178  64586  60361  12378  64498
64873  166  64572  60385  13009  63914
64880  163  64562  60594  13539  63670
64881  178  64572  60648  14165  62986
64877  164  64587  60250  15585  61272
64880  175  64574  59068  18664  59418
64893  152  64574  58182  21340  59271
64885  166  64572  57905  23020  59396
64873  166  64577  57681  24516  58459
64866  165  64569  56467  28006  56191
64875  174  64571  56076  29315  54844
64875  177  64568  57348  26852  54824
64878  167  64577  59600  23559  54665
64868  185  64581  61795  19939  55916
64875  182  64586  62152  18608  56596
64881  170  64595  61563  18533  56706
64879  168  64573  61281  18890  56225
64876  169  64570  61255  18900  56790
64876  163  64572  60878  17994  57351
64890  164  64587  60647  16276  57345
64871  170  64570  60843  15031  57489
64881  165  64580  62253  14579  58864
64870  165  64578  63727  14067  60761
64876  172  64571  64379  14445  61716
64874  169  64569  64730  15163  62903
64889  162  64573  64908  16049  63884
64877  170  64568  65058  16340  64721
64884  170  64571  64886  16442  63115
64866  163  64568  65171  17108  61232
64878  170  64567  65004  17571  60666
64873  173  64578  64215  17266  60085
64882  168  64576  63170  17060  60250
64879  168  64589  62617  17559  59561
64870  164  64570  62723  18955  58185
64890  177  64572  62495  20821  57481
64866  172  64565  61675  21072  57192
64885  171  64584  60684  21786  55923
64894  160  64587  58736  23538  53928
64880  162  64567  57520  24067  53439
64892  165  64569  57946  23367  54233
64882  168  64572  59152  22204  56308
64897  165  64571  60571  21115  58711
64870  177  64570  60476  21168  58841
64882  175  64572  59323  22185  57326
64866  166  64577  58248  21751  56944
64878  170  64574  57854  20535  57857
64876  169  64574  58248  18607  58559
64891  164  64572  58888  16770  58691
64885  163  64565  59474  14986  58789
64876  157  64578  60163  13392  59461
64890  173  64580  60540  12308  60349
64888  170  64570  60333  11716  61053
64879  176  64576  60235  11139  61665
64880  174  64580  60110  10835  62441
64877  183  64576  60143  10676  62820
64878  173  64574  60159  10371  63029
64874  175  64577  60034  10409  62576
