ired      red
90077   77739
89621   77596
88859   77341
88206   77122
87863   76985
87804   76964
87919   77000
88128   77074
88362   77153
88589   77227
88782   77290
88928   77342
89034   77383
89068   77394
89072   77394
89067   77401
89109   77413
89184   77425
89274   77463
89384   77500
89514   77547
89631   77583
89759   77637
89843   77660
89929   77681
89775   77643
89148   77436
88341   77162
87783   76978
87581   76897
87643   76912
87858   76976
88113   77071
88367   77163
88588   77239
88808   77315
88999   77384
89128   77420
89177   77432
89157   77433
89152   77429
89202   77447
89280   77474
89351   77500
89448   77533
89558   77569
89691   77618
89818   77662
89938   77698
90022   77739
89815   77673
89120   77447
88347   77186
87850   77011
87701   76950
87783   76980
88001   77054
88278   77144
88555   77232
88823   77314
89065   77403
89225   77462
89279   77480
89250   77472
89235   77464
89232   77461
89234   77462
89272   77478
89348   77500
89429   77522
89500   77552
89590   77580
89709   77625
89841   77670
89951   77706
89733   77645
89011   77396
88191   77118
87696   76943
87596   76897
87723   76935
87942   77009
88228   77102
88529   77215
88821   77315
89038   77387
89157   77426
89200   77440
89190   77442
89150   77433
89117   77411
89113   77415
89163   77427
89245   77462
89357   77495
89452   77529
89558   77566
89679   77607
89803   77655
89916   77692
89815   77653
89200   77455
88362   77168
87763   76954
87537   76884
87589   76886
87773   76946
88021   77033
88289   77130
88545   77213
88810   77299
89009   77376
89101   77413
89105   77414
89083   77411
89085   77407
89113   77422
89168   77447
89255   77470
89334   77505
89435   77534
89522   77558
89644   77595
89768   77635
89901   77687
89967   77720
89701   77634
88970   77395
88187   77123
89679   77607
89803   77655
87534   76913
87614   76988
87828   77065
88063   77141
88293   77220
88534   77220
88768   77302
88928   77361
89003   77387
88983   77383
88951   77370
88900   77348
88897   77337
88961   77362
89062   77397
89162   77437
89255   77461
89322   77490
89419   77527
89536   77566
89658   77606
89606   77592
89033   77410
88141   77106
87460   76870
87179   76764
87190   76766
87367   76818
87613   76904
87862   76992
88095   77076
88326   77146
88537   77210
88673   77257
88730   77279
88735   77288
88729   77284
88718   77283
88774   77296
88887   77339
89002   77373
89108   77414
89234   77456
89367   77501
89502   77549
89617   77595
89711   77638
89445   77549
88654   77282
87797   76996
87314   76822
87211   76790
87331   76819
87547   76880
87780   76961
88005   77031
88234   77114
88485   77200
88672   77270
88771   77307
88783   77302
88740   77294
88709   77280
88718   77282
88775   77299
88874   77337
88996   77378
89123   77423
89268   77475
89392   77517
89505   77557
89589   77590
89435   77541
88742   77312
87869   77002
87303   76794
87161   76747
87296   76793
87548   76884
87812   76968
88059   77054
88291   77139
88522   77219
88713   77279
88817   77313
88823   77315
88764   77298
88694   77271
88669   77260
88686   77261
88754   77286
88864   77322
88980   77365
89089   77409
89225   77458
89355   77488
89458   77519
89398   77511
88843   77326
88006   77045
87358   76815
87119   76728
87171   76740
87364   76803
87610   76887
87866   76969
88107   77058
88384   77166
88621   77241
88757   77289
88789   77299
88750   77290
88695   77267
88688   77273
88740   77290
88837   77323
88946   77359
89036   77382
89124   77411
89205   77439
89305   77471
89422   77511
89440   77527
89026   77392
88273   77140
87617   76908
87313   76794
87295   76791
87442   76839
87655   76913
87884   76990
88132   77070
88382   77160
88583   77224
88704   77275
88748   77287
88729   77281
88681   77259
88660   77243
88703   77259
88797   77295
88909   77337
89016   77370
89120   77399
89226   77444
89363   77490
89500   77528
89552   77547
89232   77449
88486   77201
87743   76951
87339   76807
87270   76775
87384   76810
87576   76870
87789   76942
88008   77015
88238   77098
88455   77170
88612   77208
88694   77237
88701   77242
88660   77223
88606   77206
88382   77160
88661   77224
88704   77275
88748   77287
88898   77331
89023   77383
89144   77429
89275   77469
89405   77490
89461   77490
89198   77409
88497   77170
87723   76908
87267   76747
87172   76702
87287   76738
87490   76797
87723   76877
87979   76966
88219   77048
88456   77133
88608   77171
88652   77192
88621   77172
88579   77165
88569   77149
88586   77156
88625   77170
88712   77192
88828   77236
88951   77283
89078   77318
89184   77360
89292   77396
89384   77432
89274   77392
88671   77195
87846   76903
87272   76703
87097   76643
87190   76669
87410   76747
87669   76837
87914   76918
88157   76998
88380   77075
88549   77125
88628   77163
88636   77160
88592   77142
88536   77122
88521   77111
88551   77119
88649   77160
88779   77206
88919   77252
89058   77303
89191   77340
89308   77373
89372   77405
89069   77305
88308   77052
87543   76787
87156   76651
87157   76641
87343   76703
87587   76787
87846   76874
88092   76961
88308   77037
88522   77114
88678   77165
88741   77183
88715   77169
88654   77148
88605   77132
88633   77140
88703   77159
88807   77196
88922   77233
89060   77271
89181   77320
89303   77356
89424   77400
89457   77419
89086   77296
88309   77034
87568   76773
87196   76632
87159   76624
87321   76674
87543   76759
87795   76840
88025   76925
88254   76995
88473   77076
88640   77138
88726   77166
88716   77161
88673   77131
88638   77119
88659   77124
88725   77154
88835   77193
88947   77225
89069   77265
89188   77310
89321   77355
89457   77402
89467   77412
89074   77283
88350   77047
87713   76817
87380   76698
87364   76687
87531   76750
87766   76831
87967   76899
88142   76959
88335   77017
88520   77087
88663   77120
88704   77137
88678   77132
88651   77124
88661   77125
88721   77155
88822   77184
88925   77215
89041   77256
89166   77299
89286   77344
89413   77387
89539   77428
89615   77464
89349   77380
88671   77154
87940   76908
87499   76758
87397   76719
87488   76752
87660   76803
87856   76861
88036   76922
88229   76991
88423   77059
88583   77111
88645   77137
88639   77134
88622   77127
88626   77130
88659   77139
88729   77165
88822   77200
88951   77249
89080   77293
89192   77329
89288   77368
89378   77388
89444   77421
89243   77362
88598   77140
87839   76876
87298   76674
87108   76607
87189   76634
87382   76710
87597   76783
88671   77154
88105   76959
87499   76758
87397   76719
88474   77096
88509   77088
88475   77065
88424   77053
88380   77043
88364   77043
88405   77054
88458   77070
88529   77097
88589   77124
88663   77154
88764   77181
88859   77207
88943   77226
88961   77243
88635   77145
87871   76884
87086   76613
86664   76453
86596   76429
86737   76477
86944   76545
87178   76618
87395   76702
87621   76775
87843   76850
87997   76901
88049   76921
88026   76919
88006   76912
87988   76914
87998   76906
88057   76922
88174   76961
88301   77015
88423   77056
88537   77094
88668   77144
88806   77200
88888   77231
88613   77140
87874   76896
87111   76626
86692   76476
86616   76456
86731   76494
86943   76557
87185   76642
87403   76716
87599   76786
87790   76853
87952   76908
88054   76942
88073   76944
88027   76929
87994   76916
88006   76924
88075   76947
88180   76993
88316   77039
88448   77088
88571   77130
88680   77174
88827   77223
88924   77260
88737   77208
88073   76991
87298   76717
86781   76531
86620   76473
86710   76494
86904   76566
87100   76637
87285   76689
87486   76755
87734   76837
87938   76919
88065   76960
88101   76976
88099   76973
88097   76977
88113   76975
88154   76985
88245   77022
88356   77059
88464   77092
88569   77138
88694   77182
88794   77211
88879   77244
88800   77222
88290   77057
87577   76806
87033   76621
86794   76533
86854   76537
87032   76594
87262   76679
87485   76753
87676   76831
87880   76899
88078   76966
88203   77011
88249   77032
88230   77021
88215   77005
88219   77019
88251   77032
88323   77059
88419   77097
88525   77129
88599   77152
88671   77182
88733   77194
88773   77212
88828   77223
88613   77151
87949   76930
87164   76663
86654   76480
86480   76409
86579   76448
86788   76514
87018   76596
87232   76669
87473   76756
87706   76831
87882   76902
87949   76934
87927   76917
87862   76901
87832   76883
87851   76894
87901   76916
87949   76931
88042   76962
88164   77010
88295   77043
88401   77079
88522   77125
88642   77169
88671   77190
88278   77051
87522   76793
86837   76554
86499   76435
86462   76409
86591   76455
86778   76515
87022   76604
87241   76684
87468   76760
87664   76835
87804   76886
87838   76894
87819   76895
87771   76879
87757   76874
87802   76889
87903   76918
88046   76977
88185   77033
88308   77072
88449   77128
88599   77182
88748   77229
87949   76931
88825   77183
88554   76933
87800   76666
87036   76510
86590   76477
86524   76526
86675   76526
86912   76610
87146   76699
87336   76764
87522   76822
87741   76904
87913   76957
87991   76977
87969   76970
87877   76935
87703   76870
87556   76809
87455   76770
87484   76782
87592   76816
87743   76862
87893   76926
88039   76970
88184   77027
88320   77073
88145   77023
87524   76806
86819   76557
86384   76402
86281   76370
86387   76400
86551   76456
86758   76512
86958   76579
87175   76652
87400   76727
87590   76807
87699   76845
87740   76862
87703   76845
87656   76823
87664   76819
87721   76840
87811   76878
87900   76908
87999   76945
88117   76990
88239   77026
88346   77070
88428   77094
88434   77108
88057   76987
87338   76742
86676   76496
86323   76366
86274   76338
86417   76382
86612   76452
86811   76515
87028   76599
87275   76680
87519   76774
87717   76840
87807   76865
87805   76865
87771   76851
87756   76844
87774   76848
87810   76857
87842   76871
87895   76881
87968   76915
88052   76942
88146   76969
88239   76999
88311   77012
88293   77011
87844   76869
87075   76603
86439   76378
86138   76260
86129   76248
86281   76296
86504   76378
